sector,business_vintage_months,monthly_upi_inflow,monthly_upi_outflow,upi_transaction_count,avg_transaction_value,upi_inflow_growth_rate,cash_flow_volatility,avg_bank_balance,gst_monthly_turnover,gst_filing_regularity,gst_late_filings_count,digital_invoice_count_monthly,on_time_payment_ratio,bounced_payment_count,existing_loan_emi_ratio,financial_health_score,risk_category
grocery_retail,18,170503.01,87958.37,1051,162.14,5.53,0.1162,31562.8,137074.01,0.683,1,322,0.7742,0,0.2678,74.87,Low Risk
pharmacy_medical,28,35157.9,28967.21,39,889.16,2.63,0.072,8822.67,29547.88,0.7806,1,7,0.723,2,0.2579,55.76,Medium Risk
grocery_retail,41,138704.9,117233.61,438,316.05,-1.55,0.2734,42446.6,101069.64,0.6686,3,143,0.9129,0,0.1984,65.13,Medium Risk
pharmacy_medical,28,16016.89,9231.28,100,159.83,-7.97,0.2014,2078.37,18147.89,0.8696,0,38,0.6108,4,0.5692,53.01,Medium Risk
restaurant_food,59,272930.54,165763.93,1058,257.8,-7.12,0.1091,62030.19,167181.45,0.5741,4,305,0.7912,1,0.125,66.37,Medium Risk
electronics_repair,94,177099.24,122213.45,1006,176.01,-7.58,0.0805,52941.5,184986.95,0.6304,2,260,0.455,5,0.2719,50.79,Medium Risk
grocery_retail,92,51799.27,47933.67,278,185.87,-6.74,0.2379,10371.37,35179.15,0.7847,0,83,0.7583,1,0.1173,75.43,Low Risk
grocery_retail,33,59786.02,46579.26,130,456.51,-9.01,0.1608,20319.45,55470.86,0.906,0,30,0.7774,2,0.2412,76.61,Low Risk
textile_apparel,17,999050.35,608833.27,3204,311.76,8.1,0.4538,93073.11,1105482.94,0.8186,0,895,0.6145,2,0.1417,69.91,Medium Risk
restaurant_food,46,26871.72,23994.76,55,484.89,9.76,0.0249,8620.34,30600.54,0.7268,0,17,0.8906,0,0.1596,61.97,Medium Risk
manufacturing_small,30,28350.26,20124.86,28,1002.28,10.99,0.4547,5971.43,30241.45,0.8378,0,8,0.8566,1,0.1377,59.29,Medium Risk
textile_apparel,44,126485.8,60086.48,253,499.22,4.86,0.2034,29076.31,140674.97,0.621,3,89,0.8328,0,0.3818,54.55,Medium Risk
wholesale_trade,42,73886.36,67197.81,100,734.92,14.1,0.224,17815.64,49286.4,0.8519,1,29,0.7933,2,0.2799,66.33,Medium Risk
wholesale_trade,50,62214.9,48130.26,86,716.49,-0.72,0.2191,3212.09,39096.58,0.8441,0,30,0.9259,0,0.5124,59.16,Medium Risk
grocery_retail,29,344101.81,201003.02,647,531.12,-8.49,0.2122,90455.24,239226.57,0.873,2,186,0.7339,1,0.4928,68.12,Medium Risk
restaurant_food,21,71447.87,56277.27,317,225.12,-15.07,0.02,4345.31,59310.31,0.9427,0,99,0.7087,1,0.2509,65.37,Medium Risk
services_professional,22,33983.03,28201.5,39,862.38,8.4,0.1191,3462.81,26256.69,0.9241,0,8,0.7673,1,0.3195,65.7,Medium Risk
manufacturing_small,58,133451.5,89064.91,176,756.32,23.55,0.0632,46320.55,90463.8,0.6911,2,35,0.6995,0,0.0456,71.16,Low Risk
pharmacy_medical,42,138159.58,114606.12,261,528.23,10.68,0.1871,27830.51,152010.59,0.8862,1,76,0.6855,0,0.1352,72.86,Low Risk
pharmacy_medical,43,86756.36,49921.46,84,1027.96,18.98,0.1225,23095.31,98014.41,0.6433,5,29,0.9185,0,0.551,57.75,Medium Risk
services_professional,24,119016.62,100158.58,215,552.07,-16.23,0.2216,30062.61,118099.24,0.9317,0,58,0.7329,0,0.1004,60.25,Medium Risk
